Company Name	Industry	Symbol
360 ONE WAM Ltd.	Financial Services	360ONE
3M India Ltd.	Diversified	3MINDIA
ABB India Ltd.	Capital Goods	ABB
ACC Ltd.	Construction Materials	ACC
ACME Solar Holdings Ltd.	Power	ACMESOLAR
AGI Greenpac Ltd.	Capital Goods	AGI
AIA Engineering Ltd.	Capital Goods	AIAENG
APL Apollo Tubes Ltd.	Capital Goods	APLAPOLLO
ASK Automotive Ltd.	Automobile and Auto Components	ASKAUTOLTD
AU Small Finance Bank Ltd.	Financial Services	AUBANK
AWL Agri Business Ltd.	Fast Moving Consumer Goods	AWL
Aadhar Housing Finance Ltd.	Financial Services	AADHARHFC
Aarti Drugs Ltd.	Healthcare	AARTIDRUGS
Aarti Industries Ltd.	Chemicals	AARTIIND
Aarti Pharmalabs Ltd.	Healthcare	AARTIPHARM
Aavas Financiers Ltd.	Financial Services	AAVAS
Abbott India Ltd.	Healthcare	ABBOTINDIA
Action Construction Equipment Ltd.	Capital Goods	ACE
Acutaas Chemicals Ltd.	Healthcare	ACUTAAS
Adani Energy Solutions Ltd.	Power	ADANIENSOL
Adani Enterprises Ltd.	Metals & Mining	ADANIENT
Adani Green Energy Ltd.	Power	ADANIGREEN
Adani Ports and Special Economic Zone Ltd.	Services	ADANIPORTS
Adani Power Ltd.	Power	ADANIPOWER
Adani Total Gas Ltd.	Oil Gas & Consumable Fuels	ATGL
Aditya Birla Capital Ltd.	Financial Services	ABCAPITAL
Aditya Birla Fashion and Retail Ltd.	Consumer Services	ABFRL
Aditya Birla Real Estate Ltd.	Forest Materials	ABREL
Aditya Birla Sun Life AMC Ltd.	Financial Services	ABSLAMC
Aditya Vision Ltd.	Consumer Services	AVL
Advanced Enzyme Tech Ltd.	Healthcare	ADVENZYMES
Aegis Logistics Ltd.	Oil Gas & Consumable Fuels	AEGISLOG
Aether Industries Ltd.	Chemicals	AETHER
Afcons Infrastructure Ltd.	Construction	AFCONS
Affle 3i Ltd.	Information Technology	AFFLE
Ahluwalia Contracts (India) Ltd.	Construction	AHLUCONT
Ajanta Pharmaceuticals Ltd.	Healthcare	AJANTPHARM
Akums Drugs and Pharmaceuticals Ltd.	Healthcare	AKUMS
Akzo Nobel India Ltd.	Consumer Durables	AKZOINDIA
Alembic Pharmaceuticals Ltd.	Healthcare	APLLTD
Alivus Life Sciences Ltd.	Healthcare	ALIVUS
Alkem Laboratories Ltd.	Healthcare	ALKEM
Alkyl Amines Chemicals Ltd.	Chemicals	ALKYLAMINE
Allcargo Logistics Ltd.	Services	ALLCARGO
Allied Blenders and Distillers Ltd.	Fast Moving Consumer Goods	ABDL
Alok Industries Ltd.	Textiles	ALOKINDS
Amara Raja Energy & Mobility Ltd.	Automobile and Auto Components	ARE&M
Amber Enterprises India Ltd.	Consumer Durables	AMBER
Ambuja Cements Ltd.	Construction Materials	AMBUJACEM
Anand Rathi Wealth Ltd.	Financial Services	ANANDRATHI
Anant Raj Ltd.	Realty	ANANTRAJ
Angel One Ltd.	Financial Services	ANGELONE
Apar Industries Ltd.	Capital Goods	APARINDS
Apeejay Surrendra Park Hotels Ltd.	Consumer Services	PARKHOTELS
Apollo Hospitals Enterprise Ltd.	Healthcare	APOLLOHOSP
Apollo Tyres Ltd.	Automobile and Auto Components	APOLLOTYRE
Aptus Value Housing Finance India Ltd.	Financial Services	APTUS
Archean Chemical Industries Ltd.	Chemicals	ACI
Arvind Fashions Ltd.	Consumer Services	ARVINDFASN
Arvind Ltd.	Textiles	ARVIND
Asahi India Glass Ltd.	Automobile and Auto Components	ASAHIINDIA
Ashok Leyland Ltd.	Capital Goods	ASHOKLEY
Ashoka Buildcon Ltd.	Construction	ASHOKA
Asian Paints Ltd.	Consumer Durables	ASIANPAINT
Aster DM Healthcare Ltd.	Healthcare	ASTERDM
Astra Microwave Products Ltd.	Capital Goods	ASTRAMICRO
AstraZenca Pharma India Ltd.	Healthcare	ASTRAZEN
Astral Ltd.	Capital Goods	ASTRAL
Atul Ltd.	Chemicals	ATUL
Aurionpro Solution Ltd.	Information Technology	AURIONPRO
Aurobindo Pharma Ltd.	Healthcare	AUROPHARMA
Authum Investment & Infrastructure Ltd.	Financial Services	AIIL
